,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,state
75,75,283.182267,2023-10-12 01:23:58.103683,2023-10-12 01:25:39.474898,0 days 00:01:41.371215,relu,32,0.3,7.106923624240687e-06,0.95,0.999,0.0001619097169000852,-0.10179998779864208,0.5,1,16,small,256,0.5920992497029041,PRUNED
76,76,2562.871892,2023-10-12 01:25:39.475569,2023-10-12 02:03:54.384680,0 days 00:38:14.909111,relu,16,0.3,2.351079438710522e-07,0.9,0.999,9.494476903458766e-05,-1.0103681179187538,0.5,10,512,small,256,0.32683693775113165,COMPLETE
77,77,439.93184460000003,2023-10-12 02:03:54.385971,2023-10-12 02:06:30.502914,0 days 00:02:36.116943,relu,256,0.4,6.288760622795896e-05,0.9,0.9,6.591976216785008e-05,-0.6451671981302926,0.6,20,512,medium,256,0.9099311713863413,PRUNED
78,78,1713.8528496,2023-10-12 02:06:30.503860,2023-10-12 02:08:15.534240,0 days 00:01:45.030380,relu,256,0.4,0.0019721472581658546,0.9,0.999,0.002781563379786728,-2.187429756202217,1.0,10,1024,medium,256,0.9319966925372528,PRUNED
79,79,426.3527446,2023-10-12 02:08:15.535122,2023-10-12 02:15:23.271114,0 days 00:07:07.735992,relu,128,0.4,1.0384661548297195e-06,0.92,0.999,0.006300652771072029,0.250858909509683,0.6,10,512,small,8,0.546282401872934,COMPLETE
80,80,320.8303666,2023-10-12 02:15:23.272329,2023-10-12 02:21:33.234293,0 days 00:06:09.961964,relu,32,0.3,1.7987576354837344e-06,0.95,0.999,0.00022363300672776604,0.5239619529201086,0.5,10,512,small,256,0.7118389329893001,PRUNED
81,81,1504.5695759999999,2023-10-12 02:21:33.235024,2023-10-12 02:25:06.568179,0 days 00:03:33.333155,relu,64,0.3,5.2816906538908975e-08,0.9,0.999,0.00024141086288874752,0.8397762946368361,0.5,10,128,small,256,0.5864083667243963,PRUNED
82,82,288.106563,2023-10-12 02:25:06.568905,2023-10-12 02:47:08.667743,0 days 00:22:02.098838,relu,8,0.2,2.8965594701418e-08,0.92,0.9999,0.0001162427058543686,-0.31177209082179363,0.3,10,1024,small,-1,0.801791009094378,PRUNED
83,83,2951.9696852,2023-10-12 02:26:05.368201,2023-10-12 03:04:44.326158,0 days 00:38:38.957957,relu,16,0.3,6.441991015893108e-07,0.9,0.999,0.0017252455580040564,-0.2380901834686407,0.5,10,512,small,256,0.35985293409797287,COMPLETE
84,84,355.3225336,2023-10-12 02:47:08.668457,2023-10-12 03:09:26.814723,0 days 00:22:18.146266,relu,128,0.4,1.8139815690863017e-08,0.9,0.999,0.00047641881497272997,-0.3067471930358048,0.6,10,8,small,256,0.6737226851564699,PRUNED
85,85,2841.3970927999994,2023-10-12 03:04:44.327368,2023-10-12 03:44:19.239298,0 days 00:39:34.911930,relu,16,0.1,6.110431385857153e-06,0.92,0.999,0.0016767612863413709,0.8225998056178168,0.5,10,512,small,256,0.3989823221880301,COMPLETE
